Lemma	Frequency	New type
terug_komen	73	Arriving
terecht_komen	68	Arriving
belanden	45	Arriving
terug_keren	27	Arriving
op_duiken	23	Arriving
arriveren	20	Arriving
binnen_komen	81	Arrving
strijd	29	Attacking
wonen	177	BeingAtAPlace
hangen	95	BeingAtAPlace
onder_liggen	78	BeingAtAPlace
aanwezig	31	BeingAtAPlace
thuis_blijven	30	BeingAtAPlace
bestaan	259	BeingInExistence
ontstaan	94	BeingInExistence
gebruiken	337	BeingInUse
gebruik_maken	30	BeingInUse
kopen	317	Buying
aan_schaffen	28	Buying
op_kopen	16	Buying
koop	15	Buying
mee_doen	83	Collaboration
samen_werken	56	Collaboration
mee_werken	27	Collaboration
bouwen	65	Creating
op_bouwen	55	Creating
ontwerpen	52	Creating
creÃ«ren	40	Creating
breken	29	Damaging
beschadigen	21	Damaging
duperen	20	Damaging
verlagen	95	Decreasing
krimpen	73	Decreasing
terug_lopen	49	Decreasing
volume_daling	41	Decreasing
verkleinen	26	Decreasing
kelderen	24	Decreasing
netto_verlies	21	Decreasing
verminderen	19	Decreasing
bestellen	363	Distribution
uit_brengen	59	Distribution
post_bezorgen	33	Distribution
verstrekken	23	Distribution
avond_bezorging	18	Distribution
overname	224	FinancialTransaction
over_nemen	146	FinancialTransaction
investeren	93	FinancialTransaction
krijgen	2265	Getting
pakken	75	Getting
terug_krijgen	68	Getting
bezorgen	2150	Giving
versturen	470	Giving
verzenden	191	Giving
door_geven	117	Giving
in_leveren	116	Giving
af_geven	113	Giving
terug_sturen	61	Giving
op_sturen	61	Giving
dumpen	55	Giving
aan_leveren	52	Giving
overhandigen	34	Giving
retourneren	33	Giving
thuis_bezorgen	27	Giving
toe_sturen	24	Giving
verstuurd	18	Giving
zenden	16	Giving
kosten	628	HavingAValue
bedragen	84	HavingAValue
verzend_kosten	56	HavingAValue
waard	36	HavingAValue
bezitten	22	HavingInPossession
stijgen	360	Increasing
toe_nemen	152	Increasing
prijs_verhoging	52	Increasing
beperken	45	Increasing
tarief_verhoging	38	Increasing
salaris_verhoging	37	Increasing
vergroten	34	Increasing
loon_verhoging	27	Increasing
prijs_stijging	22	Increasing
bereiken	171	IntentionalEvent
verwerken	116	IntentionalEvent
aan_bellen	105	IntentionalEvent
zeven	100	IntentionalEvent
tekenen	87	IntentionalEvent
drukken	87	IntentionalEvent
steken	87	IntentionalEvent
plakken	72	IntentionalEvent
aan_trekken	68	IntentionalEvent
aan_gaan	58	IntentionalEvent
organiseren	52	IntentionalEvent
aan_melden	49	IntentionalEvent
achter_laten	48	IntentionalEvent
introduceren	48	IntentionalEvent
bundelen	28	IntentionalEvent
sorteren	297	InternalChange
aan_passen	127	InternalChange
in_huren	29	JoiningAnOrganization
vertrekken	46	Leaving
verlaten	25	Leaving
terug_gaan	23	Leaving
langs_komen	64	Meeting
bezoeken	23	Meeting
deel_nemen	22	Meeting
op_gaan	41	Merging
combineren	30	Merging
integreren	25	Merging
verbinden	22	Merging
samen_voegen	15	Merging
draaien	83	Motion
trekken	83	Motion
klimmen	42	Motion
springen	25	Motion
bewegen	19	Motion
uit_betalen	80	Paying
uit_geven	75	Paying
uit_keren	65	Paying
besteden	46	Paying
over_maken	41	Paying
af_rekenen	19	Paying
storten	15	Paying
leggen	100	Placing
neer_leggen	68	Placing
neer_zetten	42	Placing
verplaatsen	39	Placing
installeren	30	Placing
terug_doen	16	Placing
verwijderen	42	Removing
weg_halen	30	Removing
weg_gooien	29	Removing
huren	22	Renting
vervangen	64	Replacing
verdelen	26	Separating
op_splitsen	15	Separating
lanceren	54	StartingAnActivity
uit_rollen	24	StartingAnActivity
implementeren	23	StartingAnActivity
op_starten	19	StartingAnActivity
stelen	45	Stealing
stoppen	166	StoppingAnActivity
staken	83	StoppingAnActivity
schrappen	52	StoppingAnActivity
af_ronden	52	StoppingAnActivity
op_geven	43	StoppingAnActivity
beÃ«indigen	31	StoppingAnActivity
af_schaffen	29	StoppingAnActivity
terug_nemen	16	Taking
lopen	661	Translocation
gooien	116	Translocation
posten	104	Translocation
fietsen	89	Translocation
mee_gaan	48	Translocation
over_stappen	36	Translocation
verhuizen	35	Translocation
vliegen	33	Translocation
weg_brengen	30	Translocation
retour_zending	16	Translocation
weg_rijden	16	Translocation
rond_rijden	15	Translocation
af_leveren	361	Transportation
brengen	347	Transportation
levering	150	Transportation
post_bezorging	108	Transportation
pakket_bezorging	94	Transportation
rond_brengen	83	Transportation
terug_brengen	46	Transportation
vervoeren	41	Transportation
door_werken	25	Working
