ID	EN
1	Århus (county)
2	breach of trust
3	adhesive
4	State trading
5	retail trade
6	wholesale trade
7	arms trade
8	East-West trade
9	foreign trade
10	domestic trade
11	international trade
12	accession to the European Union
13	marketing
14	ad hoc committee
15	committee of inquiry
16	Commission on Human Rights
17	UN Commission
18	parliamentary committee
19	EP Committee
20	award of contract
21	standing committee
22	specialised committee
23	UN technical commission
24	commission agent
25	Commonwealth
26	European Communities
27	municipality
28	adjuvant
29	mass communications
30	satellite communications
31	press release
32	Communism
33	Comoros
34	insurance company
35	administrative powers
36	EU competence
37	jurisdiction ratione materiae
38	central government
39	executive competence
40	competence of the Member States
41	powers of parliament
42	jurisdiction
43	joint competence
44	territorial jurisdiction
45	competitiveness
46	complementarity of trade
47	consumer behaviour
48	educational administration
49	political behaviour
50	electronic component
51	mineral compound
52	composition of the population
53	composition of parliament
54	accounting
55	financial accounting
56	national accounts
57	tax authorities
58	public accounting
59	regional accounting
60	accountant
61	account
62	consolidated account
63	trading account
64	tied sales outlet
65	county
66	concentration of the population
67	concentration of powers
68	local government
69	economic concentration
70	industrial concentration
71	product design
72	concessionaire
73	balance of payments assistance
74	cohabitation
75	competition
76	international competition
77	public administration
78	summarising
79	condiment
80	terms for aid
81	position of women
82	working conditions
83	living conditions
84	economic conditions
85	social situation
86	socioeconomic conditions
87	preparation for market
88	admission to examinations
89	atmospheric conditions
90	WCL
91	UN Conference
92	confidentiality
93	confectionery
94	conflict of jurisdiction
95	conflict of powers
96	misuse of a right
97	temporary admission
98	labour dispute
99	international conflict
100	racial conflict
101	social conflict
102	sick leave
103	maternity leave
104	training leave
105	parental leave
106	paid leave
107	unpaid leave
108	leave on social grounds
109	freezing
110	conglomerate
111	Congo
112	short-term economic prospects
113	Connacht
114	Council of the European Union
115	board of directors
116	Association Council (EU)
117	adoption of a child
118	Council for Cultural Cooperation
119	CCD
120	Asian and Pacific Council
121	Council of Europe
122	Council of Europe countries
123	UN Security Council
124	UN Trusteeship Council
125	Council of European Municipalities and Regions
126	Council of Ministers
127	adoption of a law by vote
128	European Council
129	Nordic Council
130	Nordic Council countries
131	agricultural adviser
132	food preserving
133	conservation of fish stocks
134	conservation of resources
135	conservatism
136	cannery
137	rescheduling of public debt
138	consumer
139	consumption
140	food consumption
141	water consumption
142	energy consumption
143	household consumption
144	adoption of the budget
145	final consumption
146	domestic consumption
147	per capita consumption
148	constitution
149	formation of a party
150	incorporation
151	control of constitutionality
152	agricultural building
153	road building
154	metal structure
155	shipbuilding
156	consultation of information
157	worker consultation
158	container
159	objections to an election result
160	adult
161	tariff quota
162	contraception
163	shorter working week
164	contract
165	insurance contract
166	work contract
167	industrial counterfeiting
168	EADI
169	plywood
170	taxpayer
171	administrative control
172	air traffic control
173	budgetary control
174	management audit
175	control of communications
176	EFTA
177	pollution control
178	liquidity control
179	production control
180	quality control of industrial products
181	food control
182	exchange control
183	merger control
184	assessment
185	migration control
186	abuse of power
187	EFTA countries
188	price control
189	financial control
190	parliamentary scrutiny
191	plant health control
192	health control
193	CIV Convention
194	collective agreement
195	airport
196	Arusha Convention
197	Lomé Convention
198	first Lomé Convention
199	second Lomé Convention
200	Yaoundé Convention
201	UN convention
202	economic convergence
203	energy conversion
204	currency convertibility
205	Cook Islands
206	administrative cooperation
207	trade cooperation
208	cultural cooperation
209	economic cooperation
210	European cooperation
211	financial cooperation
212	aerosol
213	industrial cooperation
214	institutional cooperation
215	inter-company cooperation
216	international cooperation
217	judicial cooperation
218	military cooperation
219	monetary cooperation
220	political cooperation
221	regional cooperation
222	allocation of land
223	scientific cooperation
224	South-South cooperation
225	technical cooperation
226	cross-border cooperation
227	cooperative
228	agricultural cooperative
229	consumer cooperative
230	credit union
231	coordination of aid
232	Copenhagen (county)
233	publishing of prices
234	joint ownership
235	South Korea
236	North Korea
237	Coreper
238	corporatism
239	fats
240	animal fats
241	vegetable fats
242	correspondence
243	corrosion
244	political affiliation
245	corruption
246	Corsica
247	Costa Rica
248	stock-exchange listing
249	Côte d'Ivoire
250	social-security contribution
251	sugar levy
252	cotton
253	coup d'état
254	chartering
255	Court of Justice of the European Union
256	European Court of Auditors
257	European Court of Human Rights
258	International Court of Justice
259	migratory movement
260	watercourse
261	Afghanistan
262	price of securities
263	broker
264	equipment cost
265	investment cost
266	cost of capital
267	distribution cost
268	operating cost
269	education costs
271	construction costs
272	cost of pollution
273	health costs
274	cost of living
275	production cost
276	storage cost
277	direct cost
278	cost of borrowing
279	wage cost
280	access to education
281	Africa
282	social cost
283	artistic creation
284	job creation
285	credit
286	short-term credit
287	export credit
288	import credit
289	consumer credit
290	long-term credit
291	English-speaking Africa
292	medium-term credit
293	trade credit
294	swap arrangement
295	investment loan
296	payment appropriation
297	documentary credit
298	real estate credit
299	industrial credit
300	international credit
301	cream
302	Central Africa
303	dairy ice cream
304	Scientific and Technical Research Committee
305	Crete
306	war crime
307	criminology
308	energy crisis
309	political crisis
310	economic growth
311	North Africa
312	Red Cross
313	crustacean
314	Cuba
315	leather
316	copper
317	culture
318	cereal-growing
319	terrace cropping
320	fodder-growing
321	South Africa
322	fruit-growing
323	agro-industrial cropping
324	market gardening
325	permanent crop
326	popular culture
327	hydroponics
328	glasshouse cultivation
329	tropical agriculture
330	self-sufficiency farming
331	cumulative pension entitlement
332	French-speaking Africa
333	Curaçao
334	Cyclades
335	economic cycle
336	Denmark
337	regions of Denmark
338	parliamentary debate
339	deforestation
340	decentralisation
341	budgetary discharge
342	Southern Africa
343	waste
344	agricultural waste
345	industrial waste
346	non-recoverable waste
347	radioactive waste
348	decision
349	decision (EU)
350	EAEC Decision
351	West Africa
352	ECSC general Decision
353	ECSC individual Decision
354	restrictive-practice notification
355	announcement of candidacy
356	explanation of voting
357	East Africa
358	economic take-off
359	decolonisation
360	counting of the votes
361	devolution
362	administrative unit
363	division into constituencies
364	decree
365	tax relief
366	anti-missile defence
